OBJECTID,SourceOID,ABCDMisc,ADSPermissionState,ContainmentDateTime,ControlDateTime,CreatedBySystem,IncidentSize,DiscoveryAcres,DispatchCenterID,EstimatedCostToDate,FinalAcres,FinalFireReportApprovedByTitle,FinalFireReportApprovedByUnit,FinalFireReportApprovedDate,FireBehaviorGeneral,FireBehaviorGeneral1,FireBehaviorGeneral2,FireBehaviorGeneral3,FireCause,FireCauseGeneral,FireCauseSpecific,FireCode,FireDepartmentID,FireDiscoveryDateTime,FireMgmtComplexity,FireOutDateTime,FireStrategyConfinePercent,FireStrategyFullSuppPercent,FireStrategyMonitorPercent,FireStrategyPointZonePercent,FSJobCode,FSOverrideCode,GACC,ICS209ReportDateTime,ICS209ReportForTimePeriodFrom,ICS209ReportForTimePeriodTo,ICS209ReportStatus,IncidentManagementOrganization,IncidentName,IncidentShortDescription,IncidentTypeCategory,IncidentTypeKind,InitialLatitude,InitialLongitude,InitialResponseAcres,InitialResponseDateTime,IrwinID,IsFireCauseInvestigated,IsFireCodeRequested,IsFSAssisted,IsMultiJurisdictional,IsReimbursable,IsTrespass,IsUnifiedCommand,LocalIncidentIdentifier,ModifiedBySystem,PercentContained,PercentPerimeterToBeContained,POOCity,POOCounty,POODispatchCenterID,POOFips,POOJurisdictionalAgency,POOJurisdictionalUnit,POOJurisdictionalUnitParentUnit,POOLandownerCategory,POOLandownerKind,POOLegalDescPrincipalMeridian,POOLegalDescQtr,POOLegalDescQtrQtr,POOLegalDescRange,POOLegalDescSection,POOLegalDescTownship,POOPredictiveServiceAreaID,POOProtectingAgency,POOProtectingUnit,POOState,PredominantFuelGroup,PredominantFuelModel,PrimaryFuelModel,SecondaryFuelModel,TotalIncidentPersonnel,UniqueFireIdentifier,WFDSSDecisionStatus,EstimatedFinalCost,OrganizationalAssessment,StrategicDecisionPublishDate,CreatedOnDateTime_dt,ModifiedOnDateTime_dt,ActiveFireCandidate,IsCpxChild,CpxName,CpxID,SourceGlobalID,GlobalID,IncidentComplexityLevel,x,y
489521,38451087,,ICS209,,,wildcade,6175,0.1,MTDDC,55800000,,,,,Minimal,Smoldering,Smoldering,Smoldering,Natural,,,S7VK,,8/15/2025 12:09:00 AM,,,0,100,0,0,PN,1532,NRCC,10/4/2025 11:31:00 PM,10/3/2025 10:30:00 PM,10/4/2025 10:30:00 PM,U,Type 3 IC,Windy Rock,"15 Miles NE from Drummond, MT",WF,FI,46.719,-112.8462,,,{29B33B22-87B3-478C-B4CC-E1916551C503},,0,1,,,,0,256444,ics209,85,100,,Powell,MTDDC,30077,BLM,MTMFD,,BLM,Federal,,,,,,,NR08,DNRC,MTSWS,US-MT,,,Short Grass (1 foot),Timber (Grass and Understory),127,2025-MTSWS-256444,No Decision,,,,8/15/2025 1:11:34 AM,10/4/2025 11:31:00 PM,1,0,,,{73A81BB0-A385-4718-8945-B4E8B4EC1D53},393af1da-e8ce-4094-bf1f-b4953f0267c2,Type 3 Incident,-112.8462,46.719
489717,38451280,,DEFAULT,,,wildcade,27.75,0.1,WYCPC,,,,,,,,,,Natural,,,S7WS,,8/15/2025 1:46:27 AM,,,,,,,,,RMCC,,,,,,Long Draw,,WF,FI,43.887172,-105.452682,,,{13DCA03A-6EFC-4887-8478-C19376CC1E28},,0,1,,,,,250335,wildcade,,,,Campbell,WYCPC,56005,,,,Private,Private,,,,,,,RM04,C&L,WYCMX,US-WY,,,,,,2025-WYCMX-250335,No Decision,,,,8/15/2025 7:44:05 PM,10/8/2025 10:22:23 PM,1,0,,,{808F3FAF-3132-4303-A71D-0C7748CDE329},c6de626d-065f-4c8a-8e84-cb492f91b22f,,-105.452682,43.887172
490149,38451710,,ICS209,,,wildcade,3560,0.1,MTDDC,150000,,,,,Minimal,Smoldering,Smoldering,,Undetermined,,,S7ZE,,8/16/2025 9:44:00 PM,,,0,100,0,0,PN,1532,NRCC,8/26/2025 8:46:19 PM,8/25/2025 6:00:00 PM,8/26/2025 8:00:00 PM,F,Type 4 IC,LG25 6416 - McAllister,"4 Miles N from McAllister, MT",WF,FI,45.488464,-111.669331,,,{01D7BD75-20AE-4AE2-BC62-BEA5563D88C4},,0,1,,,,0,256416,INFORM_Inspector,100,100,,Madison,MTDDC,30057,DNRC,MTCES,,State,Other,,,,,,,NR09,C&L,MTLG25,US-MT,,,Short Grass (1 foot),Brush (2 feet),42,2025-MTLG25-256416,No Decision,,,,8/16/2025 10:29:20 PM,10/6/2025 7:12:48 PM,1,0,,,{A360BDA2-B2B8-467F-A794-D4E9392F7A16},bb07f69a-21b7-4e54-8557-5cbf2ca0e7e2,Type 4 Incident,-111.721783,45.49225
490389,38451954,,ICS209,,,wildcade,5453,0.1,COGJC,23860000,,,,,Minimal,Creeping,Smoldering,Smoldering,Natural,,,S841,,8/17/2025 4:39:00 PM,,,0,100,0,0,P2,0215,RMCC,10/9/2025 8:13:58 PM,10/2/2025 8:15:00 PM,10/9/2025 8:00:00 PM,U,Type 5 IC,Derby,"13 Miles N from Dotsero, CO",WF,FI,39.849358,-107.091013,,,{8C6286CC-8A82-4ABE-A1E8-5C9F08980141},,0,1,,,,0,250367,ics209,90,100,"Dotsero, CO",Eagle,COGJC,08037,USFS,COWRF,,USFS,Federal,6th Principal Meridian,,,87W,25,2S,RM11,USFS,COWRF,US-CO,,,Short Grass (1 foot),Brush (2 feet),8,2025-COWRF-250367,No Decision,,,,8/17/2025 7:39:06 PM,10/9/2025 8:13:58 PM,1,0,,,{24D06ED6-8749-4D12-98E8-1688EF2760AE},bd662b11-3686-4ae4-a1ed-20d11e0807b9,Type 5 Incident,-107.091173,39.849463
490500,38452067,,DEFAULT,,,wildcade,424,400,UTNUC,2930000,,,,,Minimal,,Creeping,Creeping,Undetermined,,,S82N,,8/17/2025 11:01:00 PM,,,0,0,100,0,P4,0419,GBCC,10/9/2025 9:24:38 PM,10/9/2025 12:00:00 PM,10/9/2025 8:45:00 PM,U,Type 5 IC,Buckley Draw,"3 Miles SE from Provo, UT",WF,FI,40.17525,-111.579208,,,{5F012831-206B-4FE5-B6C1-A7FEF3800BCD},,0,1,,,,0,200686,ics209,95,100,Provo,Utah,UTNUC,49049,USFS,UTUWF,,USFS,Federal,,,,,,,GB26,USFS,UTUWF,US-UT,,,Short Grass (1 foot),Chaparral (6 feet),1,2025-UTUWF-200686,No Decision,,,,8/17/2025 11:37:58 PM,10/9/2025 9:24:38 PM,1,0,,,{F07F9C70-CFC6-49B3-8144-3B47C560F7FB},2cd46339-6f43-4750-844c-93a163221e0c,Type 5 Incident,-111.610183,40.212267
490653,38452220,,ICS209,,,wildcade,133,0.5,COPBC,1470000,,,,,Minimal,Smoldering,Backing,Backing,Human,,,S82T,,8/17/2025 11:46:00 PM,,,0,100,0,0,P2,0212,RMCC,10/11/2025 8:02:58 PM,10/10/2025 8:00:00 PM,10/11/2025 8:00:00 PM,U,Type 5 IC,La Plata,"4 Miles W from Twin Lakes, CO",WF,FI,39.0718,-106.4684,,,{451B824A-0173-4409-BA80-8276B016E925},,0,1,,,,0,001374,ics209,86,100,Twin Lakes,Chaffee,COPBC,08015,USFS,COPSF,,USFS,Federal,,,,,,,RM17,USFS,COPSF,US-CO,,,Timber (Litter and Understory),Brush (2 feet),2,2025-COPSF-001374,No Decision,,,,8/18/2025 3:28:06 PM,10/11/2025 8:02:58 PM,1,0,,,{DD766C38-9567-490B-8CAB-FEA643D47B0E},2f2c9598-cb5a-4d3d-9977-2de5c35fbcd3,Type 4 Incident,-106.492617,39.05405
490573,38452138,,DEFAULT,,,wildcade,0.1,0.1,CASDIC,,,,,,,,,,Undetermined,,,S81X,,8/18/2025 1:16:19 AM,,,,,,,P5,0502,OSCC,,,,,,ARNOLD,,WF,FI,32.87369,-116.45413,,,{71560DD5-1D9E-4923-85CF-272068BE85C5},,0,1,,,1,,002101,INFORM_Inspector,,,,San Diego,CASDIC,06073,USFS,CACNF,,USFS,Federal,,,,,,,SC11,USFS,CACNF,US-CA,,,,,,2025-CACNF-002101,No Decision,,,,8/18/2025 2:57:57 AM,10/10/2025 5:16:17 PM,1,0,,,{6E95085E-F723-4726-8D5D-0D38C3BF9DD6},f646a173-6a16-4906-a1f8-8eb9f6e50810,,-116.45413,32.87369
490839,38452406,,ICS209,,,wildcade,594,25,MTKIC,60000,,,,,Minimal,Smoldering,Backing,Flanking,Undetermined,,,S8E5,,8/18/2025 7:17:29 PM,,,0,0,0,100,P1,0110,NRCC,10/9/2025 11:12:14 PM,10/2/2025 8:00:00 PM,10/9/2025 11:00:00 PM,U,Type 5 IC,Pot Mountain,"44 Miles SE from Big Fork, MT",WF,FI,47.7725,-113.196,,,{D4963BDC-6F6D-406A-BFA9-732495BF19DF},,0,1,,,,0,000357,ics209,0,0,Big Fork,Flathead,MTKIC,30029,USFS,MTFNF,,USFS,Federal,,,,,,,NR07,USFS,MTFNF,US-MT,,,Timber (Litter and Understory),Brush (2 feet),1,2025-MTFNF-000357,No Decision,,,,8/19/2025 12:51:07 AM,10/9/2025 11:12:14 PM,1,0,,,{87181011-6815-412F-A2F5-9EED53FB24D6},a1a04645-6458-421c-9b31-59e1b44e5cf3,Type 5 Incident,-113.160883,47.9275
491092,38452658,EKT3,ICS209,,,wildcade,243,2,MTHDC,4207000,,,,,Minimal,Smoldering,Smoldering,Torching,Natural,,,S85H,,8/19/2025 6:01:00 PM,,,0,100,0,0,P1,0115,NRCC,9/9/2025 8:34:51 PM,9/8/2025 8:30:00 PM,9/9/2025 8:30:00 PM,F,Type 5 IC,Sandbar 2,"13 Miles E from Lincoln, MT",WF,FI,47.018506,-112.466698,,,{14288C93-CFCB-4377-BFA7-59DA9192E011},,0,1,,1,,0,000558,wildcade,100,100,Lincoln,Lewis and Clark,MTHDC,30049,USFS,MTHLF,,USFS,Federal,,,,,,,NR07,USFS,MTHLF,US-MT,,,Closed Timber Litter,Medium Logging Slash,4,2025-MTHLF-000558,No Decision,,,,8/19/2025 10:13:21 PM,10/10/2025 4:36:01 PM,1,0,,,{5C626C20-3910-4CCA-9A99-587BB6EF4026},c84dc3f4-e9e1-4e33-88d6-3099b4e20836,Type 3 Incident,-112.369867,47.000283
491142,38452709,,DEFAULT,,,wildcade,963,50,MTBDC,6100000,,,,,Minimal,Smoldering,Smoldering,Creeping,Undetermined,,,S85Z,,8/19/2025 11:50:00 PM,,,0,100,0,0,P1,0111,NRCC,10/8/2025 9:06:23 PM,10/8/2025 8:45:00 PM,10/8/2025 9:00:00 PM,U,Type 5 IC,West Fork,"23 Miles NW from West Yellowstone, MT",WF,FI,45.062218,-111.192993,,,{5019B9D9-3318-48A8-9C31-4A9B76C4A0FB},,0,1,,,,0,250913,ics209,91,100,"Hebgen Lake, MT",Gallatin,MTBDC,30031,USFS,MTCGF,,USFS,Federal,,,,,,,NR12,USFS,MTCGF,US-MT,,,Timber (Grass and Understory),Timber (Litter and Understory),29,2025-MTCGF-250913,No Decision,,,,8/20/2025 12:23:17 AM,10/8/2025 9:06:23 PM,1,0,,,{CA8EADF4-698F-49F4-B09E-A1F41EDB6542},b834c766-3e99-4296-aa32-67680eba7474,Type 4 Incident,-111.3681,44.9432
